species,type,disp_dist
Accipiter nisus,breeding,2.64823868029111
Acrocephalus arundinaceus,breeding,0.775300089917466
Acrocephalus schoenobaenus,breeding,0.1579553033507
Acrocephalus scirpaceus,breeding,0.585144215454831
Actitis hypoleucos,breeding,0.430439081520483
Aegithalos caudatus,breeding,0.695390225984937
Aegolius funereus,breeding,15.1548165788409
Alcedo atthis,breeding,1.96065731030556
Anas platyrhynchos,breeding,0.916063274694943
Anser anser,breeding,3.2249863334251
Anser fabalis,breeding,0.00358993836094462
Apus apus,breeding,1.2885021153137
Tachymarptis melba,breeding,0.895198345036832
Arenaria interpres,breeding,2.26780969559374
Athene noctua,breeding,0.618046339552587
Aythya fuligula,breeding,0.817622987317628
Branta leucopsis,breeding,1.34698497098323
Bucephala clangula,breeding,0.980888214447403
Burhinus oedicnemus,breeding,7.26949203704938
Buteo buteo,breeding,6.45303680790019
Calidris temminckii,breeding,0.737377624459746
Caprimulgus europaeus,breeding,1.14325958367165
Carduelis cannabina,breeding,0.427938380025087
Carduelis chloris,breeding,0.669426601419056
Carduelis flavirostris,breeding,2.00971649046126
Certhia familiaris,breeding,0.525271033068188
Charadrius alexandrinus,breeding,3.15012479233627
Charadrius dubius,breeding,1.57483552749933
Charadrius hiaticula,breeding,1.6622780158349
Chlidonias hybrida,breeding,1.69859184701021
Chlidonias niger,breeding,3.0817435671032
Ciconia ciconia,breeding,5.91995534720497
Cinclus cinclus,breeding,1.33032324284101
Circus pygargus,breeding,6.28900884526284
Columba oenas,breeding,0.551596064590335
Columba palumbus,breeding,2.1368499239892
Coracias garrulus,breeding,2.97707604806592
Corvus corone,breeding,1.48305413135098
Corvus cornix,breeding,13.7038766342739
Corvus frugilegus,breeding,1.84407628995468
Corvus monedula,breeding,0.627112878307739
Cygnus cygnus,breeding,3.81015931721187
Cygnus olor,breeding,8.51830149684323
Delichon urbicum,breeding,0.407214111011193
Dryocopus martius,breeding,0.611067086772861
Emberiza schoeniclus,breeding,0.776662730095865
Erithacus rubecula,breeding,0.000521273358915792
Falco naumanni,breeding,1.56038394143764
Falco peregrinus,breeding,4.46706632635335
Falco tinnunculus,breeding,4.95374634254097
Ficedula albicollis,breeding,2.16731971764689
Ficedula hypoleuca,breeding,0.783494421987358
Fringilla coelebs,breeding,0.275894495424015
Fulica atra,breeding,1.04833691218455
Gavia stellata,breeding,5.60270701850596
Glaucidium passerinum,breeding,1.85506827060994
Gyps fulvus,breeding,1.50433396609471
Haematopus ostralegus,breeding,2.54189483425235
Himantopus himantopus,breeding,3.24446046760481
Hippolais icterina,breeding,0.355267993115141
Hirundo rustica,breeding,0.202574133187699
Jynx torquilla,breeding,0.579107114351415
Lanius collurio,breeding,0.83277705341879
Larus argentatus,breeding,10.5853721247721
Larus cachinnans,breeding,10.446562531863
Larus canus,breeding,1.96392354121614
Larus fuscus,breeding,9.12389792389336
Larus hyperboreus,breeding,0.942359147745793
Larus marinus,breeding,1.80655223176658
Larus melanocephalus,breeding,56.6617250988718
Larus ridibundus,breeding,5.57960592151496
Limosa limosa,breeding,2.79269564959864
Luscinia megarhynchos,breeding,0.98625878137167
Merops apiaster,breeding,0.908989147630929
Milvus migrans,breeding,7.5937237130839
Motacilla alba,breeding,0.394192956423763
Motacilla cinerea,breeding,1.46140201836807
Muscicapa striata,breeding,0.0779522486182336
Numenius arquata,breeding,1.69338665358993
Oenanthe oenanthe,breeding,0.405838703243064
Panurus biarmicus,breeding,0.385209828963322
Parus ater,breeding,0.354868321927922
Parus caeruleus,breeding,0.47408739848769
Parus cinctus,breeding,0.652750584357758
Parus cristatus,breeding,0.341416015827389
Parus major,breeding,0.402929757971485
Parus montanus,breeding,0.423032976205316
Parus palustris,breeding,0.362042565904094
Passer domesticus,breeding,0.370901821232512
Passer montanus,breeding,0.342662205624591
Phalacrocorax aristotelis,breeding,0.367076930215229
Phoenicurus ochruros,breeding,1.01158466414098
Phoenicurus phoenicurus,breeding,0.112780764097075
Phylloscopus sibilatrix,breeding,0.772092681133306
Phylloscopus trochilus,breeding,0.248948503239388
Pica pica,breeding,2.71605681199126
Prunella modularis,breeding,0.396634652481475
Pyrrhocorax pyrrhocorax,breeding,1.73654963435857
Recurvirostra avosetta,breeding,9.21760672208708
Remiz pendulinus,breeding,2.37918153448871
Riparia riparia,breeding,1.45279287630428
Rissa tridactyla,breeding,0.151624186146489
Saxicola rubetra,breeding,1.14034601642241
Saxicola torquatus,breeding,0.734468826524081
Sitta europaea,breeding,0.226065710345136
Somateria mollissima,breeding,1.01019306533179
Stercorarius parasiticus,breeding,0.480562270657058
Catharacta skua,breeding,0.754682240291875
Sterna albifrons,breeding,2.72429113557573
Sterna hirundo,breeding,1.62793161442313
Sterna paradisaea,breeding,0.796634854235118
Sterna sandvicensis,breeding,6.3053244581272e-05
Strix aluco,breeding,1.294079611305
Accipiter nisus,natal,17.2846537265502
Acrocephalus arundinaceus,natal,1.8103942975113
Acrocephalus schoenobaenus,natal,1.05031770271428
Acrocephalus scirpaceus,natal,3.67612429791331
Actitis hypoleucos,natal,6.59914127565629
Aegithalos caudatus,natal,2.96512169318024
Aegolius funereus,natal,21.4594912730828
Alcedo atthis,natal,7.59466453194192
Anas platyrhynchos,natal,2.65985320788357
Anser anser,natal,4.6501705641408
Anser fabalis,natal,3.29530509400566
Apus apus,natal,2.06916592578792
Tachymarptis melba,natal,2.75514205616439
Arenaria interpres,natal,5.16412852762061
Athene noctua,natal,4.51548930121111
Aythya fuligula,natal,1.92805389731819
Branta leucopsis,natal,2.79507968076926
Bucephala clangula,natal,2.1183441664091
Burhinus oedicnemus,natal,5.32401098359735
Buteo buteo,natal,18.4946970187639
Calidris temminckii,natal,1.67984283726926
Caprimulgus europaeus,natal,5.19906010244066
Carduelis cannabina,natal,27.4082485990086
Carduelis chloris,natal,2.51966117441268
Carduelis flavirostris,natal,2.2412058221002
Certhia familiaris,natal,1.82233382632735
Charadrius alexandrinus,natal,8.47901614519747
Charadrius dubius,natal,10.1080219719045
Charadrius hiaticula,natal,7.06240543512754
Chlidonias hybrida,natal,1.3062061136753
Chlidonias niger,natal,5.18376170443492
Ciconia ciconia,natal,0.0138630294925871
Cinclus cinclus,natal,12.7062042864045
Circus pygargus,natal,28.8614465383174
Columba oenas,natal,0.486761814483989
Columba palumbus,natal,2.25417098196498
Coracias garrulus,natal,10.756952357197
Corvus corone,natal,9.35024888494754
Corvus cornix,natal,13.0713255374419
Corvus frugilegus,natal,5.86885764911908
Corvus monedula,natal,4.06113588966786
Cygnus cygnus,natal,17.0896802146133
Cygnus olor,natal,21.1611607588183
Delichon urbicum,natal,1.18868015159124
Dryocopus martius,natal,1.88688089162229
Emberiza schoeniclus,natal,3.32768998903211
