x,y,for_cover_km2
4325349.2981,2649313.2586,0
4325349.2981,2644313.2586,0
4330349.2981,2689313.2586,0
4330349.2981,2684313.2586,0.067
4330349.2981,2669313.2586,0.025
4330349.2981,2664313.2586,0.177
4330349.2981,2659313.2586,0
4330349.2981,2654313.2586,1.011
4330349.2981,2649313.2586,0.598
4330349.2981,2644313.2586,0
4330349.2981,2639313.2586,0
4335349.2981,2689313.2586,0.034
4335349.2981,2684313.2586,7.787
4335349.2981,2679313.2586,0.969
4335349.2981,2674313.2586,0.034
4335349.2981,2669313.2586,9.565
4335349.2981,2664313.2586,1.989
4335349.2981,2659313.2586,0
4335349.2981,2654313.2586,10.104
4335349.2981,2649313.2586,1.214
4335349.2981,2644313.2586,0
4335349.2981,2639313.2586,0
4340349.2981,2689313.2586,0.093
4340349.2981,2684313.2586,14.234
4340349.2981,2679313.2586,9.068
4340349.2981,2674313.2586,8.242
4340349.2981,2669313.2586,7.062
4340349.2981,2664313.2586,0.042
4340349.2981,2659313.2586,9.877
4340349.2981,2654313.2586,9.059
4340349.2981,2649313.2586,0
4345349.2981,2699313.2586,0
4345349.2981,2694313.2586,0.666
4345349.2981,2689313.2586,3.952
4345349.2981,2684313.2586,13.593
4345349.2981,2679313.2586,0.893
4345349.2981,2674313.2586,12.632
4345349.2981,2669313.2586,4.407
4345349.2981,2664313.2586,10.989
4345349.2981,2659313.2586,8.233
4345349.2981,2654313.2586,0
4345349.2981,2649313.2586,0
4350349.2981,2719313.2586,3.371
4350349.2981,2714313.2586,3.759
4350349.2981,2709313.2586,0.405
4350349.2981,2704313.2586,0.126
4350349.2981,2699313.2586,2.764
4350349.2981,2694313.2586,8.107
4350349.2981,2689313.2586,13.888
4350349.2981,2684313.2586,16.661
4350349.2981,2679313.2586,3.531
4350349.2981,2674313.2586,11.158
4350349.2981,2669313.2586,9.312
4350349.2981,2664313.2586,16.854
4350349.2981,2659313.2586,0.11
4350349.2981,2654313.2586,3.405
4350349.2981,2649313.2586,0.11
4355349.2981,2719313.2586,3.978
4355349.2981,2714313.2586,16.383
4355349.2981,2709313.2586,12.161
4355349.2981,2704313.2586,7.938
4355349.2981,2699313.2586,11.773
4355349.2981,2694313.2586,9.818
4355349.2981,2689313.2586,18.835
4355349.2981,2684313.2586,6.447
4355349.2981,2679313.2586,4.568
4355349.2981,2674313.2586,8.461
4355349.2981,2669313.2586,21.228
4355349.2981,2664313.2586,11.908
4355349.2981,2659313.2586,0.101
4355349.2981,2654313.2586,7.509
4355349.2981,2649313.2586,13.121
4355349.2981,2644313.2586,14.402
4355349.2981,2639313.2586,4.146
4360349.2981,2719313.2586,1.677
4360349.2981,2714313.2586,15.388
4360349.2981,2709313.2586,15.186
4360349.2981,2704313.2586,15.97
4360349.2981,2699313.2586,20.621
4360349.2981,2694313.2586,16.922
4360349.2981,2689313.2586,12.548
4360349.2981,2684313.2586,6.16
4360349.2981,2679313.2586,3.969
4360349.2981,2674313.2586,14.057
4360349.2981,2669313.2586,16.897
4360349.2981,2664313.2586,1.07
4360349.2981,2659313.2586,8.04
4360349.2981,2654313.2586,22.046
4360349.2981,2649313.2586,13.003
4360349.2981,2644313.2586,6.978
4360349.2981,2639313.2586,3.11
4365349.2981,2719313.2586,10.071
4365349.2981,2714313.2586,15.961
4365349.2981,2709313.2586,17.874
4365349.2981,2704313.2586,19.602
4365349.2981,2699313.2586,14.318
4365349.2981,2694313.2586,7.113
4365349.2981,2689313.2586,12.506
4365349.2981,2684313.2586,2.781
4365349.2981,2679313.2586,12.641
4365349.2981,2674313.2586,20.689
4365349.2981,2669313.2586,21.211
4365349.2981,2664313.2586,12.211
4365349.2981,2659313.2586,23.664
4365349.2981,2654313.2586,17.259
4365349.2981,2649313.2586,14.116
4365349.2981,2644313.2586,2.773
4365349.2981,2639313.2586,0
4370349.2981,2719313.2586,5.107
4370349.2981,2714313.2586,20.327
4370349.2981,2709313.2586,17.074
4370349.2981,2704313.2586,23.638
4370349.2981,2699313.2586,14.04
4370349.2981,2694313.2586,8.402
4370349.2981,2689313.2586,2.857
4370349.2981,2684313.2586,13.391
4370349.2981,2679313.2586,23.225
4370349.2981,2674313.2586,15.852
4370349.2981,2669313.2586,22.619
4370349.2981,2664313.2586,20.739
4370349.2981,2659313.2586,12.278
4370349.2981,2654313.2586,1.053
4370349.2981,2649313.2586,0
4370349.2981,2644313.2586,0
4370349.2981,2639313.2586,0
4375349.2981,2719313.2586,0.118
4375349.2981,2714313.2586,17.647
4375349.2981,2709313.2586,20.849
4375349.2981,2704313.2586,16.619
4375349.2981,2699313.2586,13.18
4375349.2981,2694313.2586,12.481
4375349.2981,2689313.2586,14.529
4375349.2981,2684313.2586,19.02
4375349.2981,2679313.2586,20.529
4375349.2981,2674313.2586,20.251
4375349.2981,2669313.2586,11.882
4375349.2981,2664313.2586,15.22
4375349.2981,2659313.2586,11.992
4375349.2981,2654313.2586,7.534
4375349.2981,2649313.2586,4.121
4375349.2981,2644313.2586,1.155
4375349.2981,2639313.2586,0
4375349.2981,2634313.2586,0
4380349.2981,2714313.2586,16.585
4380349.2981,2709313.2586,18.877
4380349.2981,2704313.2586,14.874
4380349.2981,2699313.2586,10.391
4380349.2981,2694313.2586,21.464
4380349.2981,2689313.2586,23.638
4380349.2981,2684313.2586,20.251
4380349.2981,2679313.2586,23.36
4380349.2981,2674313.2586,3.86
4380349.2981,2669313.2586,13.897
4380349.2981,2664313.2586,6.742
4380349.2981,2659313.2586,0.051
4380349.2981,2654313.2586,0
4380349.2981,2649313.2586,0
4380349.2981,2644313.2586,0
4380349.2981,2639313.2586,0
4380349.2981,2634313.2586,0
4385349.2981,2714313.2586,8.933
4385349.2981,2709313.2586,19.669
